Date,Price,Open,High,Low,Vol.,Change %
16/7/2024,80.03,80.78,80.82,79.23,,-0.01
15/7/2024,80.84,80.96,81.35,80.36,216420,-0.0022
12/7/2024,81.02,81.55,82.29,80.91,276670,-0.0044
11/7/2024,81.38,81.35,81.83,80.6,205100,0.0038
10/7/2024,81.07,80.92,81.6,79.95,193210,0.0063
9/7/2024,80.56,81.45,81.65,80.42,166790,-0.0118
8/7/2024,81.52,82.36,82.5,81.29,143020,-0.0197
5/7/2024,83.16,83.60,84.52,83.02,361360,-0.0093
4/7/2024,83.94,83.61,84.2,83.03,,0.0007
3/7/2024,83.88,83.20,83.93,82.46,289690,0.0129
2/7/2024,82.81,83.43,84.38,82.72,367790,-0.0068
1/7/2024,83.38,81.45,83.64,81.38,345780,0.0226
28/6/2024,81.54,81.86,82.72,80.97,260250,-0.0024
27/6/2024,81.74,80.86,82.04,80.51,306340,0.0104
26/6/2024,80.90,80.72,81.63,80.18,308410,0.0009
25/6/2024,80.83,81.70,81.9,80.55,286040,-0.0098
24/6/2024,81.63,80.45,81.78,80.23,271750,0.0111
21/6/2024,80.73,81.27,81.79,80.35,290500,-0.0175
20/6/2024,82.17,81.52,82.41,81.13,23270,0.0196
19/6/2024,80.59,80.78,81.16,80.31,,-0.012
18/6/2024,81.57,80.43,81.67,79.77,140710,0.0154
17/6/2024,80.33,78.48,80.66,77.98,126730,0.024
14/6/2024,78.45,77.96,79.15,77.73,245830,-0.0022
13/6/2024,78.62,78.37,78.89,77.67,307640,0.0015
12/6/2024,78.50,78.22,79.32,77.88,322290,0.0077
11/6/2024,77.90,78.12,78.36,77.22,314870,0.0021
10/6/2024,77.74,75.35,78.29,75.23,317030,0.0293
7/6/2024,75.53,75.67,76.25,75.21,280250,-0.0003
6/6/2024,75.55,74.30,75.79,74.06,291080,0.02
5/6/2024,74.07,72.90,74.33,72.82,307700,0.0112
4/6/2024,73.25,74.02,74.13,72.48,408720,-0.0131
3/6/2024,74.22,76.97,77.52,73.98,443270,-0.036
